promise_id,promise_text,source,text
P116,"To establish one Jayadeva like Heart Hospital, Kidwai like Cancer Hospital and NIMHANS type Psychiatric Hospitals in each revenue Division.",news,‘Only 3% of Congress manifesto promises fulfilled’: Report - The Indian Express
P117,Puneeth Rajkumar Heart Health Scheme To offer subsidy to Doctors/ Clinics/Nursing Home to buy DEFIBRILLATOR (AED).,news,Karnataka Assembly polls 2023: What the manifestos of national parties promise - Citizen Matters
P117,Puneeth Rajkumar Heart Health Scheme To offer subsidy to Doctors/ Clinics/Nursing Home to buy DEFIBRILLATOR (AED).,news,Karnataka’s heart attack management programme is now ‘Puneeth Rajkumar Hrudaya Jyothi’ scheme - The Hindu
P117,Puneeth Rajkumar Heart Health Scheme To offer subsidy to Doctors/ Clinics/Nursing Home to buy DEFIBRILLATOR (AED).,news,"Karnataka Assembly Elections 2023 | Congress releases manifesto, promises to repeal ‘anti-people laws’ passed by BJP - The Hindu"
P118,"To ensure that all homeless families in Karnataka have a dwelling house under the existing schemes, within 5 years.",news,"Kogilu Demolition: Only 90 Families Likely To Qualify For Rehabilitation, Says Karnataka Minister - News18"
P118,"To ensure that all homeless families in Karnataka have a dwelling house under the existing schemes, within 5 years.",news,"Rajiv Gandhi Housing Scheme: Eligibility, Benefits, Documents and How to Apply in 2026 - Trade Brains"
P118,"To ensure that all homeless families in Karnataka have a dwelling house under the existing schemes, within 5 years.",news,"RGRHCL: Benefits, eligibility, beneficiary status 2025 check online - housing.com"
P118,"To ensure that all homeless families in Karnataka have a dwelling house under the existing schemes, within 5 years.",news,"In Modi govt’s ‘housing for all’: 83% homes not for landless poor, lopsided growth - Newslaundry"
P118,"To ensure that all homeless families in Karnataka have a dwelling house under the existing schemes, within 5 years.",news,BBMP Budget 2025-26 | Highlights - Deccan Herald
P119,To waive offall Housing Loans under various Government Housing Schemes as a onetime measure.,news,Congress manifesto promises to write off all student education loans - The Economic Times
P120,To increase State Government subsidy of Rs. 3.5 lakhs to housing projects of the poor,news,"Pradhan Mantri Awas Yojana 2026: Beneficiaries, online, offline application - housing.com"
P120,To increase State Government subsidy of Rs. 3.5 lakhs to housing projects of the poor,news,State to give additional ₹3.5 lakh per house for poor under PM Awas Yojana - The Hindu
P120,To increase State Government subsidy of Rs. 3.5 lakhs to housing projects of the poor,news,"Marine subsidies are a mess, say small scale fishers of southern Karnataka - Mongabay-India"
P120,To increase State Government subsidy of Rs. 3.5 lakhs to housing projects of the poor,news,12 lakh homeless families in Kerala - Deccan Chronicle
P120,To increase State Government subsidy of Rs. 3.5 lakhs to housing projects of the poor,news,Housing loan up to Rs. 5 lakh for poor minorities - The Hindu
P124,To provide house to all SC/ST families in the next five years. Government to build houses for SC/STs,news,Victims evicted from Kogilu to get alternative houses: Karnataka CM - The New Indian Express
P124,To provide house to all SC/ST families in the next five years. Government to build houses for SC/STs,news,Centre and Haryana govt committed to Antyodaya: CM Saini - The Times of India
P124,To provide house to all SC/ST families in the next five years. Government to build houses for SC/STs,news,"Pradhan Mantri Awas Yojana 2026: Beneficiaries, online, offline application - housing.com"
P124,To provide house to all SC/ST families in the next five years. Government to build houses for SC/STs,news,Alternative housing in Baiyyappanahalli for eligible families displaced from Kogilu Layout: CM Siddaramaiah - The Hindu
P124,To provide house to all SC/ST families in the next five years. Government to build houses for SC/STs,news,Attention Home Buyers! PM Awas Yojana (PMAY) Urban 2.0 Scheme Approved; Check Eligibility For Subsidy - India.Com
P126,To take action to fill all the backlog vacancies within one year.,news,Siddaramaiah promises to expedite recruitment amid job aspirant protests - The Economic Times
P126,To take action to fill all the backlog vacancies within one year.,news,"Govt job aspirants stage protests in Dharwad, demand filling of vacant posts - ThePrint"
P126,To take action to fill all the backlog vacancies within one year.,news,Discrimination against SC/ST professors in Bangalore University: CM seeks report from Principal Secretary of Higher Education - The Hindu
P126,To take action to fill all the backlog vacancies within one year.,news,"LIC AAO 2026 Recruitment for 841 Vacancies, Interview Dates Soon - Adda247"
P126,To take action to fill all the backlog vacancies within one year.,news,DMK steps up dalit outreach in TN - The Times of India
P133,To construct 50 new Ekalavya residential schools in the next five years,news,"About 600 Eklavya school students cracked IIT-JEE, NEET exams, says Centre - The Hindu"
P133,To construct 50 new Ekalavya residential schools in the next five years,news,Target to set up 728 EMRS benefitting 3.5 lakh ST students: Govt tells Parliament - Careers360
P133,To construct 50 new Ekalavya residential schools in the next five years,news,"Population criteria for new Eklavya schools ‘impractical’, says Parliamentary Committee - The Hindu"
P139,To increase the grants to all development Corporations and Boards.,news,Karnataka constitutes Gig Workers’ Welfare Board - The Hindu
P139,To increase the grants to all development Corporations and Boards.,news,"Karnataka govt approves Rs 18 crore allocation for preparing plan to upgrade 800 govt schools with Rs 3,200 crore outlay - The Indian Express"
P139,To increase the grants to all development Corporations and Boards.,news,"Bangalore Metro map, route, stations and upcoming lines 2026 - housing.com"
P139,To increase the grants to all development Corporations and Boards.,news,"After rolling out guarantees, Karnataka to hire consultant for ‘innovative capital funding’ in five... - Moneycontrol.com"
P139,To increase the grants to all development Corporations and Boards.,news,Karnataka to mandate local corporate social responsibility spending to support schools - The Times of India
P141,"To provide scholarships every year to 1000 SC/ST/OBC students, who secure PG seat at foreign universities.",news,Central University of Karnataka Admission through CUET PG 2024 - Shiksha.com
P141,"To provide scholarships every year to 1000 SC/ST/OBC students, who secure PG seat at foreign universities.",news,NEET PG Counselling 2025 Dates LIVE: MCC round 1 registration begins on mcc.nic.in; state-wise schedule - Careers360
P141,"To provide scholarships every year to 1000 SC/ST/OBC students, who secure PG seat at foreign universities.",news,"NTA CUET PG 2025: Counselling, Seat Allotment, Safe Score, Merit List & Cut Off Details - Shiksha.com"
P141,"To provide scholarships every year to 1000 SC/ST/OBC students, who secure PG seat at foreign universities.",news,Top Engineering Colleges Accepting CUET PG 2026 Score; Check NIRF Ranking and Topper List - Shiksha.com
P141,"To provide scholarships every year to 1000 SC/ST/OBC students, who secure PG seat at foreign universities.",news,"NEET PG 2025 Counselling LIVE: SC to hear transparency plea on Sep 12; TN, Gujarat registration underway - Careers360"
P142,"To enhance monthly fellowships from Rs.5,000 to Rs 10,000 for backward class students enrolled to PhD in state universities.",news,Year End Review 2018- Ministry of Human Resource Development - पीआईबी
P142,"To enhance monthly fellowships from Rs.5,000 to Rs 10,000 for backward class students enrolled to PhD in state universities.",news,"Karnataka, Telangana: List Of Government Scholarships; How To Apply - Careers360"
P142,"To enhance monthly fellowships from Rs.5,000 to Rs 10,000 for backward class students enrolled to PhD in state universities.",news,"West Bengal, Bihar State Scholarship List: Eligibility, How To Apply, Official Websites - Careers360"
