promise_id,promise_text,source,text
P221,"To reserve Rs.5,000 Crores every year for the infrastructure development of Kalyana Karnataka.",news,'Arogya Avishkara' scheme launched to strengthen healthcare services in backward Kalyana Karnataka region - Social News XYZ
P221,"To reserve Rs.5,000 Crores every year for the infrastructure development of Kalyana Karnataka.",news,"Kalaburagi to be developed into smart city with Rs 1,685 cr investment: Karnataka CM Siddaramaiah - The Economic Times"
P222,To establish a textile park at Bellary with an investment of rs. 5000 Cr.,news,"Kalaburagi to be developed into smart city with Rs 1,685 cr investment: Karnataka CM Siddaramaiah - The Economic Times"
P222,To establish a textile park at Bellary with an investment of rs. 5000 Cr.,news,Karnataka Budget: New textile policy aims to create 2 lakh jobs - Moneycontrol.com
P222,To establish a textile park at Bellary with an investment of rs. 5000 Cr.,news,Committed to development of region”: Karnataka CM Siddaramaiah on Kalyana Karnataka Utsav - Country and Politics
P222,To establish a textile park at Bellary with an investment of rs. 5000 Cr.,news,Overview of Karnataka Budget 2023-24 - NammaKPSC
P223,To provide special package for de-silting of Tungabhadra Dam,news,"Karnataka Budget 2026: Navali Balancing Reservoir mentioned, but project remains on paper - The Hindu"
P223,To provide special package for de-silting of Tungabhadra Dam,news,"2025: Silt accumulation in Indian Dams: Reducing entry of silt is the only viable option - South Asia Network on Dams, Rivers and People"
P223,To provide special package for de-silting of Tungabhadra Dam,news,"After 10-yr delay, Karnataka govt to begin constructing Tungabhadra balancing dam - The News Minute"
P223,To provide special package for de-silting of Tungabhadra Dam,news,Karnataka Dams Silt: Storage Shrinking Due to Silt Build-up - Deccan Herald
